time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-22 00:00:00+00:00,10,4,521,150
2024-11-23 00:00:00+00:00,14,6,236,60
2024-11-24 00:00:00+00:00,4,3,152,38
2024-11-25 00:00:00+00:00,26,10,431,135
2024-11-26 00:00:00+00:00,14,6,313,125
2024-11-27 00:00:00+00:00,15,5,511,147
2024-11-28 00:00:00+00:00,27,7,470,141
2024-11-29 00:00:00+00:00,13,4,334,113
2024-11-30 00:00:00+00:00,9,5,137,50
2024-12-01 00:00:00+00:00,6,4,110,47
2024-12-02 00:00:00+00:00,17,9,617,143
2024-12-03 00:00:00+00:00,17,8,515,140
2024-12-04 00:00:00+00:00,24,7,562,122
2024-12-05 00:00:00+00:00,6,4,434,157
