time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,21,6,405,123
2024-11-16 00:00:00+00:00,4,2,158,52
2024-11-17 00:00:00+00:00,1,1,187,34
2024-11-18 00:00:00+00:00,18,8,434,120
2024-11-19 00:00:00+00:00,13,5,463,180
2024-11-20 00:00:00+00:00,7,6,490,120
2024-11-21 00:00:00+00:00,3,3,337,136
2024-11-22 00:00:00+00:00,10,4,521,150
2024-11-23 00:00:00+00:00,14,6,236,60
2024-11-24 00:00:00+00:00,4,3,152,38
2024-11-25 00:00:00+00:00,26,10,431,135
2024-11-26 00:00:00+00:00,14,6,313,125
2024-11-27 00:00:00+00:00,15,5,511,147
2024-11-28 00:00:00+00:00,25,5,468,140
